SUBJID	PEER1	PEER2	PEER3	PEER4	PEER5	PEER6	PEER7	PEER8	PEER9	PEER10	PEER11	PEER12	PEER13	PEER14	PEER15
GTEX-1C475-1226-SM-7SB72_PDUI	-0.0493272580206394	9.66776383393153e-07	2.60494346093765e-08	1.09480211563096e-07	8.06432041144944e-08	1.37268983735339e-07	-1.51068721976344e-08	1.00105319589261e-08	2.34423200851097e-08	-1.48780792130765e-08	1.7551963216178e-09	-4.03878086530085e-09	2.70465227991679e-09	3.98106481114269e-09	5.58576784825959e-09
GTEX-1EWIQ-1726-SM-7SB7T_PDUI	-0.0495587214827538	9.75932948676927e-07	2.7601583951764e-07	5.09373236923238e-08	7.72482451338874e-08	1.38915638103754e-07	-1.70055383108547e-08	7.70192531973635e-09	2.30129639788856e-08	-1.45873357837445e-08	1.49272649796472e-09	-4.01711153230622e-09	3.01440605809944e-09	4.22456780668767e-09	5.38848032860528e-09
GTEX-1F5PL-1026-SM-7RHI1_PDUI	-0.0491151474416256	1.22555661619117e-07	5.345736298068e-08	1.95374298073148e-07	7.65838521488149e-08	1.39364118467711e-07	-1.84827442240021e-08	8.76688410755833e-09	2.52904541753196e-08	-1.51671049053448e-08	1.4703136486105e-09	-3.91617671624545e-09	3.38888139772564e-09	3.65949892611184e-09	5.59408475098166e-09
GTEX-1GF9U-1726-SM-7MGY5_PDUI	-0.0498579703271389	-1.38711948238779e-06	1.78340499701335e-07	3.68138479700519e-08	7.82536773158427e-08	1.40092012657078e-07	-2.57884558152455e-08	6.44964393003988e-09	2.64269672811679e-08	-1.56676343010531e-08	2.713615998573e-10	-3.36311378745791e-09	4.64385685461366e-09	3.16627501995015e-09	5.44044986838799e-09
GTEX-1GMR8-0726-SM-9KNVI_PDUI	-0.0489627346396446	4.73527776989613e-08	3.52470124198589e-07	1.29636404722078e-07	7.00816258358827e-08	1.4249027913138e-07	-2.07640002969356e-08	5.93325166775571e-09	2.48393838830907e-08	-1.47406726824784e-08	1.13446563254627e-09	-3.83948606241802e-09	3.81150222494853e-09	3.87340826080163e-09	5.31684163362911e-09
GTEX-1GN1U-0526-SM-9KNTT_PDUI	-0.0489389896392822	2.24306916152273e-07	2.74097658348182e-07	1.88992785865594e-07	6.908766891911e-08	1.43118441542356e-07	-1.92094624651418e-08	7.37976835196719e-09	2.49948985953097e-08	-1.4763550382213e-08	1.39478428806683e-09	-3.97284116715468e-09	3.60259200249402e-09	3.87797483014651e-09	5.41769651363211e-09
GTEX-1GN1W-1926-SM-7P8TH_PDUI	-0.0487788803875446	-8.89839384399238e-07	1.08261062337078e-07	1.98829539499457e-07	7.21023951655297e-08	1.42125983870756e-07	-2.30788224087064e-08	7.15163794851037e-09	2.6702434041681e-08	-1.54097232751838e-08	9.17812992273781e-10	-3.64903196548028e-09	4.18287227077485e-09	3.25746718488062e-09	5.50530554477291e-09
GTEX-1GZHY-0726-SM-9WG6B_PDUI	-0.0491850860416889	-1.28087179973591e-07	2.73116199878132e-07	1.18274954274966e-07	7.35372438498416e-08	1.40610424637089e-07	-2.09363051340006e-08	6.78335387860329e-09	2.49728913104263e-08	-1.49980596830801e-08	1.05855701981739e-09	-3.79057896182644e-09	3.8399270430034e-09	3.74685127368934e-09	5.37930411326215e-09
GTEX-1I4MK-1626-SM-CM2TJ_PDUI	-0.0493605025112629	-2.71598281642582e-07	7.0128443496742e-08	4.69752734488793e-08	7.87122615975022e-08	1.3936116260993e-07	-2.04966212891122e-08	8.25307200358338e-09	2.47579485801452e-08	-1.5253045049235e-08	9.63832680334065e-10	-3.61095175982484e-09	3.64802255070629e-09	3.48969475538752e-09	5.49436984798035e-09
GTEX-1ICG6-1326-SM-ACKWR_PDUI	-0.0493207201361656	1.65852441114112e-07	2.56669807185972e-07	1.8108286781171e-07	8.17154415244659e-08	1.3831328260494e-07	-2.01928163079401e-08	6.9664216617582e-09	2.49092160231612e-08	-1.49350132261361e-08	1.34116129313355e-09	-3.96657373613607e-09	3.63205598929994e-09	3.88229670633677e-09	5.4435793650498e-09
